ep_number,title,air_date,guests,teams,main_mission,results,is_special,special_type
764,Episode #764 - 2025 Daytime Goblin Room Tour,2025-08-10,,No teams,Choose between green and pink to win the race.,"Won by Yoo Jae-suk, Kim Jong-kook, Song Ji-hyo, Ji Ye-eun and Choi Daniel. Souvenirs awarded; Haha and Jee Seok-jin dressed as beggars as penalty.",0,
765,Episode #765 - Between Flops and Masterpieces,2025-08-17,"Seo Jang-hoon, Shin Gi-ru, Shindong",Jae-suk Family; Jong-kook Family (role-play family teams),Have the most expensive price of the drawings that were drawn to avoid penalty.,"Won by Jong-kook Team (W102,000). Face ink penalty for bottom members.",0,
766,Episode #766 - Running Sports University Prize Victory,2025-08-24,"Kim Ha-yun, Kim Min-jong","Min-jong Team (Kim Min-jong, Yoo Jae-suk, Jee Seok-jin, Ji Ye-eun, Choi Daniel); Ha-yun Team (Kim Ha-yun, Haha, Kim Jong-kook, Song Ji-hyo, Yang Se-chan)",Win the prizes in the sports competitions to avoid penalty.,Won by 5 members. Various prizes awarded; shoulder throw penalty for losers.,0,
767,"Episode #767 - More spend, more luck! The Lucky Date Strikes",2025-08-31,"Jang Dong-yoon, Kim Ah-young",First & Second Couple Teams (rotating pairs),Being on the top three with the most money from lottery tickets to win the race.,"Won by Kim Jong-kook, Choi Daniel and Jang Dong-yoon (watermelons). Keychain-making penalty.",1,Kim Jong-kook marriage announcement
768,Episode #768 - The Time Prize and Penalty Fighter Attack,2025-09-07,,No teams,Opening Mission: Have all members arrived together under 1 hour. Main Mission: Finish every task and go home before 4 PM.,"Opening Mission Failed. Main Mission won by 5 members. Gelato-stirring penalty for Yoo Jae-suk, Haha, Kim Jong-kook.",0,
769,Episode #769 - Go Straight as You Answer,2025-09-14,,,Complete the race before 3:00 PM to avoid penalty.,Mission Accomplished.,0,
770,"Episode #770 - Holding Back Laughter, Congratulatory Delegation",2025-09-21,Cha Tae-hyun,"Bridegroom (Kim Jong-kook); Mission Team (Yoo Jae-suk, Haha, Jee Seok-jin, Song Ji-hyo, Yang Se-chan, Ji Ye-eun, Choi Daniel, Cha Tae-hyun)",Bridegroom's Mission: Have the most chance cards. Mission Team's Mission: Remove several party options to win the race.,There are no winners. Stitched dried pollock penalty for some.,0,
771,"Episode #771 - Sir, That Salary Goes to The CEO",2025-09-28,"Jooheon, Kwon Eun-bi",Silver Visual Company (CEO Kwon Eun-bi); M F&B Company (CEO Haha); Try It On Company (CEO Song Ji-hyo),Being on the top five with the highest salaries to win the prize and avoid in the lowest five to escape penalty.,"Won by Haha, Song Ji-hyo, Ji Ye-eun, Choi Daniel and Kwon Eun-bi. Bitter tea penalty for some.",0,
772,Episode #772 - The King's Crops,2025-10-05,"Jun Hyun-moo, Jung Seung-hwan",Rotating Kings/Slaves and team races,Have the team with the highest values of the crops to win the races.,Won by Se-chan Team. Flogging penalty for losing team and Jun Hyun-moo.,0,
773,Episode #773 - A World Where Only the Average Survives,2025-10-12,"Bang Hyo-rin, Byun Yo-han, Kim Kang-woo, Yang Se-jong","Jae-suk Team (Yoo Jae-suk, Jee Seok-jin, Yang Se-chan, Bang Hyo-rin, Yang Se-jong); Jong-kook Team (Kim Jong-kook, Haha, Song Ji-hyo, Choi Daniel, Byun Yo-han, Kim Kang-woo)",Main Mission: Avoid penalty by winning the third place of each team. Side Mission: Collect 70 dollars.,Won by Byun Yo-han and Yang Se-jong. Ink line on face penalty. Side mission failed.,0,
774,"Episode #774 - Finders Keepers, Gold Hunters",2025-10-19,"Jeon So-min, Yang Se-hyung","Jae-suk Team (Yoo Jae-suk, Jee Seok-jin, Yang Se-chan, Jeon So-min); Jong-kook Team (Kim Jong-kook, Haha, Song Ji-hyo, Choi Daniel, Yang Se-hyung)",Find as many gold coins to win the prize and avoid penalty.,Won by Yoo Jae-suk. Mud roll penalty for some.,0,
775,Episode #775 - Time-lapse Photography Crew,2025-10-26,Jonathan Yiombi,No teams,Main Mission: Arrive at exactly 3:05 PM. Side Mission: Be top three in the photo contest and win first place.,"Main Mission Accomplished. Side mission won by Yoo Jae-suk, Kim Jong-kook and Jonathan Yiombi (box of pears).",0,
776,Episode #776 - Running Man Weekly Keywords,2025-11-02,,,Complete every task from the three main keywords to get off work early.,Mission Accomplished.,0,
777,"Episode #777 - When we gather, it's all good! Autumn Literary Club",2025-11-09,"Kim Byung-chul, Miyeon, Sunmi","Jae-suk Team (Yoo Jae-suk, Yang Se-chan, Miyeon); Haha Team (Haha, Ji Ye-eun, Kim Byung-chul); Seok-jin Team (Jee Seok-jin, Song Ji-hyo, Choi Daniel); Jong-kook Team (Kim Jong-kook, Sunmi)",Get a jangttaeng by obtaining two maple leaf cards or have the same highest numbered Hwatu Cards to win the race.,Won by Jong-kook Team and Jae-suk Team. Maple leaf face paint penalty for losers.,0,
778,Episode #778 - Dynamite Abandonment,2025-11-23,"Ahn Eun-jin, Kim Mu-jun","Jae-suk Team (Yoo Jae-suk, Jee Seok-jin, Haha, Choi Daniel, Ahn Eun-jin); Jong-kook Team (Kim Jong-kook, Song Ji-hyo, Yang Se-chan, Ji Ye-eun, Kim Mu-jun)",Avoid being chosen by the Penalty Balls to win the race.,"Won by Yoo Jae-suk, Jee Seok-jin, Ji Ye-eun and Ahn Eun-jin. Kimchi-making penalty for losers.",0,
779,Episode #779 - Isn't this the real deal?,2025-11-30,Heo Kyung-hwan,No teams,Main Mission: Avoid adding more members for the penalty by spending less money. Side Mission: Be top three to enter the car at exactly 6:00 AM.,"No winners on main. Oyster-shucking penalty for some. Side mission won by Yoo Jae-suk, Jee Seok-jin and Choi Daniel.",0,
780,Episode #780 - Isn't this the real deal 2~,2025-12-07,,,,,0,
781,Episode #781 - The Problematic New Members,2025-12-14,Kang Hoon,Main Members vs Guest Members,Main Members' Mission: Be in the top 2 to win the race. Guest Members' mission: Have the least votes of being problematic member to avoid penalty.,Won by Kang Hoon (premium honeycomb honey). Flogging penalty for members hit by reflection card.,0,
782,Episode #782 - May it reach you as a Christmas gift,2025-12-21,,No teams,Successfully guess the gifts that were given to avoid penalty.,Won by Haha and Kim Jong-kook. Cold water penalty for the rest.,1,Christmas Special
783,Episode #783 - The Year-End Clear out Settlement,2025-12-28,,Preliminary: Protagonist (Jee Seok-jin) vs Running Man Team; Main Mission Race (No teams),Main Mission: Have the least amount of Tax Prize Badges to avoid penalty.,Main Mission won by Haha and Song Ji-hyo. Cold water penalty for Jee Seok-jin and Yang Se-chan.,1,Year-End Special
